video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
cqKd_BEHheI,face mist,Caudalie,,spoken,20.6,I love using this Caudalie face mist before I apply my foundation because it has a slight cooling effect,0.9
cqKd_BEHheI,Cushion Egg-Fit Cover,fwee,#02 Nude,on-screen-text,26.0,,0.92
cqKd_BEHheI,Match Stix Contour Skinstick,Fenty Beauty,Amber,on-screen-text,40.5,,0.92
cqKd_BEHheI,Artclass By Rodin Shading,too cool for school,#02 Modern,on-screen-text,60.0,,0.92
cqKd_BEHheI,Dote Lip Pencil,Heartpercent,Clean Beige,spoken,63.1,"I just got these lip pencils from Heartpercent and this shade, Clean Beige, is quickly becoming my new favorite",0.9
cqKd_BEHheI,Juicy Lasting Tint,rom&nd,#27 Honey Dew Melon,on-screen-text,90.0,,0.92
cqKd_BEHheI,Blending Mood Cheek Knit Edition,dasique,#04 Beige Knit,both,91.7,I'm taking this super corally peachy blush and just kind of running it across the tops of my cheeks,0.92
cqKd_BEHheI,Shadow Palette,dasique,#15 Beige Knit,on-screen-text,120.0,,0.92
cqKd_BEHheI,My Fave Piece Shadow,Holika Holika,#20 Two Shot Americano,on-screen-text,150.3,,0.92
cqKd_BEHheI,super idol type lashes,,,both,158.1,I'm just doing a coat of mascara before applying a set of super idle type lashes,0.7
cqKd_BEHheI,Kill Brow Dual Tattoo Pen,CLIO,#02 Light Brown,on-screen-text,171.4,,0.92
