video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
U5lQJEHM7g4,Immediate Moisture Facial Hydrasol,Aesop,,on-screen-text,18.2,,0.9
U5lQJEHM7g4,Purple Bandage Sunscreen Primer,Judydoll,,both,23.7,I think you can tell I'm obsessed with this Judy doll purple primer.,0.95
U5lQJEHM7g4,Cushion Egg-Fit Cover,fwee,#02 Nude,both,43.0,I picked up this Fui cushion in Korea two years ago,0.92
U5lQJEHM7g4,Pro Concealer Palette,dasique,#01,on-screen-text,66.7,,0.9
U5lQJEHM7g4,Yellow beauty sponge,,,shown,71.4,,0.7
U5lQJEHM7g4,2 in 1 Highlighter Contour Palette,Judydoll,#02,both,89.1,I went in early with the Judy doll matte highlight,0.95
U5lQJEHM7g4,Pro Eye Palette Air,CLIO,#11 Shopping Cheese,both,97.0,This Clio eyeshadow palette is my number one favorite if I'm going for a very clear look.,0.97
U5lQJEHM7g4,3D Curling Eyelash Iron Mascara,Judydoll,#01 Black,on-screen-text,190.7,,0.92
U5lQJEHM7g4,Eyelash curler,,,shown,194.6,I like to almost rotate my eyelash curler so that I can pinch every section of my eyelashes in the correct direction.,0.8
U5lQJEHM7g4,Super Proof Brush Liner Kill Ash,CLIO,#02 Ash Brown,on-screen-text,223.6,,0.92
U5lQJEHM7g4,Contour & Highlight Duo Pencil,OUT-OF-OFFICE,#01,on-screen-text,240.0,,0.88
U5lQJEHM7g4,Artclass Smudging Under Liner,too cool for school,#06 Dusk,on-screen-text,229.6,,0.92
U5lQJEHM7g4,Artclass By Rodin Shading #1,too cool for school,#1,both,249.4,I also recently ordered the updated version of this Too Cool for School palette that I've been using since literally high school and this time I got the cool tone palette,0.88
U5lQJEHM7g4,Backstage Rosy Glow Blush,Dior,#001 Pink,both,262.1,This Dior blush was so popular last year but I feel like I don't really see anyone using it anymore.,0.97
U5lQJEHM7g4,Blending Mood Cheek Knit Edition,dasique,#05 Violet Knit,both,272.1,I'm taking the light pink color from this Desique palette to highlight the inner part of my cheeks.,0.95
U5lQJEHM7g4,Blur Water Tint,3CE,#Dear March,on-screen-text,299.3,,0.9
U5lQJEHM7g4,Kiss Me Heavy Rotation Eyebrow Pencil,ISEHAN,#12 Gray Beige,on-screen-text,330.0,,0.92
U5lQJEHM7g4,Kiss Me Heavy Rotation Coloring Eyebrow,ISEHAN,#15 Dusky Rose,on-screen-text,331.2,,0.92
U5lQJEHM7g4,Cheek Pop Powder Blush,Clinique,Black Honey Pop,both,348.7,this black honey blush it's probably been a couple years since this one's trended. I still love it though it's my darkest color blush,0.97
U5lQJEHM7g4,Artclass Frottage Pencil,too cool for school,#11 Dew Beige,both,364.3,The frottage pencil from Too Cool for School is so popular right now in Korea and for good reason.,0.95
U5lQJEHM7g4,Easy Bake Powder,Huda Beauty,Birthday Cake,on-screen-text,387.5,,0.92
