product_name,brand,variant_or_shade
Fairy Charm,Olens,Olive
Relief Sun Cream,Beauty of Joseon,
Luminous Silk Foundation,Armani Beauty,4
Luminous Silk Concealer,Armani Beauty,
Luminous Silk Cheek Tint,Armani Beauty,53 bold pink
Ultra-Blur Transparent Loose Setting Powder,Laura Mercier,rose
Shade + Light Contour,KVD Beauty,taupe
Monobrush,Kaleidos,pale rose
Luodai Eyebrow Define Pencil,Florasis,
Quad Palette,Kaleidos,
Long Wear Cream Eyeliner,Bobbi Brown,
The Gel Eyeliner,Addiction Tokyo,
Slim Liquid Eyeliner,Judydoll,
Quad Palette,Kaleidos,Twilight Rush
Eyelid Tape,Flortte,s fine tuned
Eyelash Curler,Rephr,
Kill Lash Superproof Mascara,Clio,long curling
False Eyelash,Flortte,
Artclass Frottage Pencil,Too Cool for School,
Smiley Lip Blending Stick,Lily by Red,01 grin with me
Untamed Glow Glossy Lip Glaze,Kaleidos,
Slim Liquid Eyeliner,Judydoll,02 deep brown
