video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
g6geutlCWjM,Madagascar Centella Probio-Cica Glow Sun Ampoule,Skin 1004,,both,22.7,I'm using the Sun Ampule from Skin 1004.,0.97
g6geutlCWjM,Hyaluronic Acid Water Resin Gel,Isntree,,spoken,29.3,"similar to my favorite from Isntree, the Hyaluronic Acid Water Resin Gel",0.95
g6geutlCWjM,Ciclamanu Serum Cushion,Parnell,27N Rosy,shown,55.9,,0.9
g6geutlCWjM,Mousse Care Cheek Handy,Nuse,Dim-dumb,both,109.5,These are from the brand News. I grabbed these as I was on my way out,0.88
g6geutlCWjM,matchstick,Fenty,,spoken,176.9,"I wanted to bring my Fenty matchsticks, but I don't have it.",0.85
g6geutlCWjM,matchstick liner,Colorgram,,spoken,182.3,So I'm going to use this one from Colorgram instead.,0.88
g6geutlCWjM,Pink Translucent Loose Setting Powder,Laura Mercier,Tone-up,shown,222.9,,0.88
g6geutlCWjM,Collagen wrap mask,,,spoken,265.4,lately I've been using this collagen wrap mask at night and it's really good,0.7
g6geutlCWjM,Butterfly Cloud Color Embossed Highlight & Contour Palette,Flower Knows,02 Tawny Tea,both,276.4,This is the Flower Nose Contour Palette in the shade number two.,0.95
g6geutlCWjM,So Fierce Vinyl Eyeliner,Revlon,Midnight Mystery,both,296.9,So I'm starting with my Revlon So Fierce Vinyl Eyeliner.,0.97
g6geutlCWjM,Quad Eyeshadow Palette,Kaleidos,Twilight Rush,shown,330.2,,0.9
g6geutlCWjM,Artist Color Pencil,Make Up For Ever,506 Endless Cacao,both,341.3,And then I'm going to go over with the brown milky chocolate liner just above it to emphasize the smokiness.,0.95
g6geutlCWjM,Double Eyelid Tape,Flortte,#5 Fine Tuned Style,both,358.0,These are from Floor T. It's my favorite eyelet tape.,0.9
g6geutlCWjM,Luodie Floral Eyebrow Define Pencil,Florasis,Chwei tip 01 Grey,both,365.4,I'm using my brow pencil from Floris's.,0.88
g6geutlCWjM,Shaper Pomade Eyebrow Fixer,Unleashia,,both,384.8,I'm going to take my Unleashia brow gel.,0.95
g6geutlCWjM,Eyelash Curler,Rephr,20R,both,434.8,I'm using my reefer eyelash curler.,0.95
g6geutlCWjM,Kill Lash Superproof Mascara Long Curling,Clio,01 long curling,both,447.0,my Clio Superproof Mascara Long Curling,0.97
g6geutlCWjM,Mascara Volume Effet Faux Cils,YSL Beauty,1 high density black,both,479.7,This is the Y cell mascara.,0.8
g6geutlCWjM,Luxeflutter Natural Wispy Glue-Free Cluster False Eyelashes,,06 black,both,505.2,They are the glue free mouse false eyelashes.,0.85
g6geutlCWjM,Epic Ink Liner,NYX,black,on-screen-text,573.4,,0.85
g6geutlCWjM,Blush Color Infusion,Laura Mercier,Chi,both,585.6,I'm going to use the Laura Mercier blush in the shade Chi.,0.97
g6geutlCWjM,taupe contour,KVD,taupe,both,600.0,I'm going to be using my KVD taupe contour.,0.92
g6geutlCWjM,Artist Color Pencil (lip liner),Make Up For Ever,,spoken,665.0,For lips I'm gonna be using this Makeup Forever liner again.,0.88
g6geutlCWjM,Ink Mood Glowy Tint,Peripera,,both,742.6,and then I'm gonna use a lip tint instead,0.9
g6geutlCWjM,Laguna Bronzer,Nars,Laguna 02,both,761.6,I'm gonna use this Nars bronzer to try to make everything a little bit warmer,0.95
g6geutlCWjM,Heart Cookie Blusher,Etude,pink salt,both,776.7,I think I'm just gonna use this like hard cookie blusher,0.9
g6geutlCWjM,"platinum+ styler 1"" flat iron",ghd,white,both,829.5,I also wanted to show you guys how I style my hair lately,0.92
