video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
shnaNKqraO0,makeup brush (flat/concealer brush),,,shown,0.9,,0.6
shnaNKqraO0,makeup sponge/puff,,,shown,2.1,,0.65
shnaNKqraO0,eyeliner pencil,,,shown,4.1,,0.65
shnaNKqraO0,eyeshadow brush,,,shown,5.6,,0.6
shnaNKqraO0,concealer stick,,,shown,7.3,,0.6
shnaNKqraO0,powder brush,,,shown,8.4,,0.6
shnaNKqraO0,blush/lip product (pot/compact),,,shown,10.6,,0.5
shnaNKqraO0,eyeshadow (mauve/purple shade),,,shown,12.0,,0.6
shnaNKqraO0,Velvet Liner,Maybelline,,shown,13.2,,0.55
shnaNKqraO0,mascara,,,shown,14.3,,0.65
shnaNKqraO0,lip liner pencil,,,shown,15.6,,0.65
shnaNKqraO0,lip gloss,,,shown,17.3,,0.7
