product_name,brand,variant_or_shade
Matte Sorbet Moisturizer,Vichy,
Hello Sunshine SPF,IT Cosmetics,
Easy Blur Foundation,Huda Beauty,300
Bronzer,Makeup by Mario,Light Medium
Blush Veil,Makeup by Mario,Perfect Pink
Setting Powder,Makeup by Mario,Fair Pink
Concealer,Tower 28,Ktown
Powder Bronzer,YSL,02
Eyeshadow Quad,Charlotte Tilbury,Pillow Talk
Eyeshadow Duo,Patrick Ta,We Need Better Lighting
Brown Gel Eyeliner,Milk Makeup,
Wild Flower Eyelashes,Velour,
Sweet Tea Lip Liner,Morphe,
Lip Oil,NYX,Chillin like a villain
