video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
dRZDUnvero4,Makeup Prep Squad Jelly Primer,Get Ready With Me (GRWM),,both,11.9,I'll be using my primer from Get Ready With Me.,0.9
dRZDUnvero4,Glued Styling Spiking Glue,got2b,,both,22.3,I use this to be glue for my brows and be okay as a one since it's already empty.,0.92
dRZDUnvero4,Brow Lock,BLK,,shown,22.3,,0.75
dRZDUnvero4,On The Glow Skin Booster Illuminator,GRWM Cosmetics,Kitana,both,37.1,"For my base, I use Get Ready With Me Illuminator as I use the shade Kitana.",0.9
dRZDUnvero4,Prestige Skin Tint,Dior,,both,47.6,"Next, I'll be using your prestige skin tint and I am in love with this",0.88
dRZDUnvero4,Concealer,Lovely Causmetics,,both,71.4,Next up is the lovely concealer.,0.82
dRZDUnvero4,Region Tint Contour,GRWM,Truffle,both,84.8,"For my contour, this is the Get Ready With Me region tint, contour in the shade Truffle.",0.88
dRZDUnvero4,Bronzer,Sheglam,Warm Honey,both,97.0,This is from Shiglam in the shade Warm Honey.,0.9
dRZDUnvero4,Radiance Tint,GRWM,Beach,both,101.6,"To brighten my face, I use this Get Ready With Me tint in the shade Beach.",0.88
dRZDUnvero4,High 5 Beauty Hybrid Colour Stick,Five Beauty,Iconic,both,110.6,"Now onto my blush, I use this High 5 Beauty Stick in the shade Iconic.",0.87
dRZDUnvero4,Moist Ampoule Blusher,Hur,Ruby Red,both,119.7,which I love to gather with her ample blush in the shade Ruby Red.,0.85
dRZDUnvero4,Sculpting Touch Creamy Stick Contour,KIKO Milano,,both,125.1,"For my nose contouring, I use this Kiko Skulting bronzer.",0.92
dRZDUnvero4,Flower Knows Brow Palette,Flower Knows,,both,138.1,"For my brows, I'll be using Flower Nose Brow Palette.",0.88
dRZDUnvero4,Full Coverage Powder Foundation,KIKO,,both,143.9,"For setting, I use this Kiko Full Coverage Powder Foundation",0.92
dRZDUnvero4,Flawless Fusion Bronzer Powder,KIKO,,both,158.9,"To add warm, I use this Kiko bronzer powder.",0.92
dRZDUnvero4,Extreme Gel Presso Pencil Liner,Clio,,both,162.8,"For my eyes, I tightline with Cleo Liner Pencil.",0.88
dRZDUnvero4,Panorama Mascara,L'Oreal,,both,170.8,It is from L'Oreal Panorama Mascara.,0.95
dRZDUnvero4,Contour Palette,Vecci,,both,184.8,I use this Backsy Contour Palette,0.8
dRZDUnvero4,Pearl Pod Blush,BYS,,both,202.8,"Next, I'll be using this B.O.I.S Pearl Pod Blush",0.88
dRZDUnvero4,No Budge Lip Liner,Ever Bilena,,both,208.8,"I'll be using every blend and no blush lip liner, this last all day I swear.",0.88
dRZDUnvero4,Cashmere Lipstick,Absidy,,both,215.1,This is the Acidity Cash Relipstick.,0.82
dRZDUnvero4,Powder Rush,GRWM,,both,221.1,I use this get rid of my powder rush.,0.85
dRZDUnvero4,Life Proof Setting Spray,GRWM,,both,228.6,I use this get rid of my life proof setting spray.,0.88
