video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
GbqrKNhJC1U,Unleashed Brow Gel,,,spoken,92.9,I'm going to be going in with my unleashed brow gel this is pretty much the current version of the rough five brow gel,0.7
GbqrKNhJC1U,Foundation,Hourglass,,spoken,116.0,these are my two favorite foundations lately this is the house lapse one,0.6
GbqrKNhJC1U,Foundation,Lawless,3F,both,116.0,this one is from Wallace this one matches my skin color a little bit better so I've been reaching mainly for this one,0.85
GbqrKNhJC1U,Makeup Puffs,,,spoken,130.7,to blend out my makeup I love using these little makeup puffs I like these more than using a sponge actually,0.6
GbqrKNhJC1U,Iris Toric Halo Brown contacts,Clalen,Halo Brown,both,176.3,these are the claylin iris toric halo browns,0.9
GbqrKNhJC1U,O2O2 Brown contact,Clalen,Brown,spoken,184.3,I also like to use the claylow O2O2 brown contact,0.8
GbqrKNhJC1U,Concealer,Hourglass,Cedar,both,201.2,I'm gonna be using my hourglass concealer,0.9
GbqrKNhJC1U,Concealer Brush,Hourglass,,spoken,228.8,by the way this is the hourglass concealer brush I love this thing,0.85
GbqrKNhJC1U,Duo-Ended Cream Contour Stick,Merythod,Biscuit,both,254.4,it's a dual ended contour stick from Maryford I do like these skimmer ones that the Asian brands are making but I also like the Westman Italian one that the shade I use is biscuit,0.85
GbqrKNhJC1U,Foundation/Contour Brush,Real Techniques,,spoken,292.9,sometimes I'd like to add a little bit on my eyes using my real technique brush to blend it out,0.8
GbqrKNhJC1U,Blush,YSL,No. 44,spoken,364.0,it is the YSL number 44 blush this blush is like the perfect shade of pink for me,0.9
GbqrKNhJC1U,Airbrush Flawless Finish Pressed Powder,Charlotte Tilbury,,spoken,396.9,using my shirt that tilbury press powder this powder deserves every bit of hype that I guess because it is honestly so good,0.8
GbqrKNhJC1U,Loose Powder,Huda Beauty,Peach Pie,both,413.8,I'm gonna go in with my huda beauty this one is peach pie,0.95
GbqrKNhJC1U,Matte Eyeshadow Palette,Makeup by Mario,,both,446.6,I'm taking this white eyeshadow from my makeup my mario palette focusing underneath the eyebrow area,0.9
GbqrKNhJC1U,Cool Tone Eyeshadow Palette,Clio Cosmetics,,both,457.1,for the actual eyeshadows I'm gonna be going in with this cool tone palette from Clio Cosmetics,0.95
GbqrKNhJC1U,Mascara,Chao Beauty,,both,530.5,This is my current favorite mascara it's from the brand chow beauty which is a brand that my friend started,0.85
GbqrKNhJC1U,Expert Liquid Eyeliner,e.l.f.,Black,both,561.3,this is my current favorite one it's the experts liquid eyeliner from elf,0.95
GbqrKNhJC1U,Morning Dew Lashes,Dope Beauty,Morning Dew,both,658.0,this style is morning dew my current favorite lash style from Dope,0.95
GbqrKNhJC1U,Lash Glue,Dope Beauty,,spoken,674.7,love the Dope Beauty glue by the way it holds your lashes on like none other,0.9
GbqrKNhJC1U,Aegyosal Pen,Colorgram,,both,745.9,I'm gonna be using my agosal pen from the color ground I have been so into doing agosalately,0.88
GbqrKNhJC1U,Eyebrow Pencil,Pixi Beauty,Soft Black,both,808.5,this is the brow pencil that I've been loving it's from pixie beauty,0.9
GbqrKNhJC1U,Wet Shimmer Palette,Kylie Cosmetics,,both,827.2,I'm gonna finish up the eyes with some inner corner shimmer this is Kylie Jenner's wet shimmer palette,0.92
GbqrKNhJC1U,Contour Palette,Judydoll,,both,854.3,good all judy doll contour palette I'm still using this you guys I don't think I'll ever stop,0.92
GbqrKNhJC1U,Orgasm Powder Blush,NARS,Orgasm,spoken,873.0,I'm gonna go in with a little extra blush this is a powder blush from NARS iconic NARS orgasm,0.97
GbqrKNhJC1U,Stone Lip Liner,MAC,Stone,both,889.8,go in with max stone lip liner I used to freaking hate this lip liner when I first tried it and now it is my favorite,0.95
GbqrKNhJC1U,Crème Cup Lipstick,MAC,Crème Cup,both,925.7,we're on top of that with max crumb cup the perfect light pink shade to compliment max stone,0.93
GbqrKNhJC1U,Forget the Filler Smoothing Gloss,Lawless,Strawberry Milkshake,both,944.0,this one is a flawless forget the filler smoothing gloss in the shade strawberry milkshake,0.88
GbqrKNhJC1U,Infallible 3-Second Setting Mist,L'Oréal,,spoken,968.1,I've been using the lorial infallible three second setting list,0.9
GbqrKNhJC1U,Foundation,Wallace,,spoken,116.0,this one is from Wallace this one matches my skin color a little bit better,0.4
GbqrKNhJC1U,Claylin Iris Toric Halo Browns contacts,Claylin,Halo Browns,spoken,176.3,these are the claylin iris toric halo browns,0.75
GbqrKNhJC1U,Dual Ended Contour Stick,Maryford,Biscuit,spoken,254.4,it's a dual ended contour stick from Maryford,0.65
GbqrKNhJC1U,Blending Brush,Real Techniques,,spoken,292.9,using my real technique brush to blend it out,0.8
GbqrKNhJC1U,Airbrush Pressed Powder,Charlotte Tilbury,,spoken,396.9,using my shirt that tilbury press powder this powder deserves every bit of hype,0.8
GbqrKNhJC1U,White Eyeshadow,Makeup by Mario,,spoken,446.6,I'm taking this white eyeshadow from my makeup my mario palette focusing underneath the eyebrow area,0.8
GbqrKNhJC1U,Eyelash Curler,Chisato,,spoken,524.6,this one is my chisato eyelash curl there my beloved,0.7
GbqrKNhJC1U,Lash Fans - Morning Dew,Dope Beauty,Morning Dew,spoken,710.1,this style is morning dew my current favorite lash style from Dope,0.9
GbqrKNhJC1U,Agosal Pen,Color Ground,,spoken,745.9,I'm gonna say for now but I cannot wait for you guys to see what we're working on we're gonna finish up the eye makeup I'm using this agosal pen from the color ground,0.75
GbqrKNhJC1U,Judy Doll Contour Palette,Judy Doll,,spoken,854.3,good all judy doll contour palette I'm still using this you guys I don't think I'll ever stop,0.8
