product_name,brand,variant_or_shade
Eye Patches,YSE Beauty,
Toner,Byroe,
Firming Serum,Byroe,
The Dewy Skin Cream,Tatcha,
Sunscreen,Glow Recipe,
Skin Glow SPF 30 Tinted Sunscreen Primer,YSE Beauty,
Major Skin Hydra-Luxe Luminous Skin Perfecting Foundation,Patrick Ta,
Major Sculpt Creme Contour & Powder Bronzer Duo,Patrick Ta,
Major Headlines Double-Take Creme & Powder Blush Duo,Patrick Ta,
Radiant Creamy Concealer,NARS,
Airbrush Flawless Finish Setting Powder,Charlotte Tilbury,
Mascara,Benefit Cosmetics,
"Precisely, My Brow Pencil",Benefit Cosmetics,
Forever Lipliner,,
Addict Lip Maximizer,Dior,
Setting Spray,Danessa Myricks,
