product_name,brand,variant_or_shade
Purple Bandage Sunscreen Primer,Judydoll,
Pro Concealer Palette,dasique,#01
Capture Totale Foundation,Dior,1.5N
Match Stix Contour Skinstick,Fenty Beauty,Amber
Contour & Highlight Duo Pencil,OUT-OF-OFFICE,#01
2 IN 1 Highlighter Contour Palette,Judydoll,#02
Artclass By Rodin Shading,too cool for school,#02 Modern
Shaking Blur Cheek,WAKEMAKE,#03 Squeeze
Shaking Blur Cheek,WAKEMAKE,#06 Fig Tea
Dual Cheek,2aN,#02 Love Rosy
Dote on Mood Lip Pencil,Heart Percent,#04 Strawberry Milk
Lip Cheat Lip Liner,Charlotte Tilbury,Pillow Talk
Lip Addict Lip Maximizer Gloss,Dior,#030 Shimmer Rose
Shadow Palette,dasique,#16 Violet Knit
My Fave Piece Shadow,HOLIKA HOLIKA,#37 Dark Espresso
Multi Eye Color Palette,3CE,Dry Bouquet
Ultra-fine Liquid Eyeliner,Judydoll,#02 Deep Brown
Dr. Mascara Fixer For Perfect Lash,ETUDE,
Sunflower Lash Clusters,Ninetynine Dreams,
3D Curling Eyelash Iron Mascara,Judydoll,#02 Brown
Heavy Rotation Eyebrow Pencil,ISEHAN,#12 Gray Beige
Kiss Me Heavy Rotation Coloring Eyebrow,ISEHAN,#15 Dusky Rose
Waterproof Soft Focus Pressed Powder,KATO-KATO,#1 Clear
