video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
y_h7RHvIXgc,Ice Roller,,,spoken,223.0,"First, I'm doing this ice roller because apparently it deepuffs your face.",0.75
y_h7RHvIXgc,Gisoo Hair Oil,Gisoo,,spoken,252.1,I'm using the Gisoo one because they sent it in the mail.,0.7
y_h7RHvIXgc,Peach 70 Niacin Serum,Anoi,,spoken,263.8,I'm going to grab some of the annoi peach 70 niacin serum.,0.7
y_h7RHvIXgc,Soothing and Barrier Support Serum,The Ordinary,,both,282.1,We're going to use some of the ordinary soothing and barrier support serum.,0.9
y_h7RHvIXgc,Future Dew Oil,Glossier,,spoken,297.3,use the Glossier Future Dew Oil thingy.,0.95
y_h7RHvIXgc,Green Tea Seed Hyaluronic Cream,Innisfree,,spoken,338.9,The Ines Free Green Tea Seed Hyaluronic Cream.,0.85
y_h7RHvIXgc,Hydrogrip Primer,Milk Makeup,,spoken,368.7,"I've heard that the, what is it? The milk hydrogrip, whatever the milk one is good.",0.85
y_h7RHvIXgc,Charlotte Tilbury Foundation/Tinted Moisturizer,Charlotte Tilbury,,spoken,398.4,Let's start on the actual makeup base. We are going to use the Charlotte Tilbury girl.,0.85
y_h7RHvIXgc,Blur and Smooth Tint Stick,Fenty Beauty,,spoken,469.0,Then we're going to take the Fenty Beauty Blur and Smooth Tint Stick.,0.95
y_h7RHvIXgc,Creaseless Concealer,Tarte,Light Sand,spoken,502.4,Now we're going to use the Tarte Creaseless Concealer in Light Sand.,0.95
y_h7RHvIXgc,Concealer Brush,Rare Beauty,,spoken,553.6,I'm using Rare Beauty Concealer brush.,0.92
y_h7RHvIXgc,Bronzer Stick,Rare Beauty,Happy Soul,spoken,630.2,The rare beauty bronzer stick and happy soul.,0.9
y_h7RHvIXgc,Soft Pop Plumping Blush,Makeup by Mario,Rose Crush,spoken,721.4,"First, we're going to start off with the makeup by my own. Soft pop plumping blush. The shade Rose Crush.",0.88
