product_name,brand,variant_or_shade
Madagascar Centella Probio-Cica Glow Sun Ampoule,SKIN 1004,SPF 50
Cicamanu Serum Cushion Foundation,Parnell,21N Rosy
Mousse Care Cheek Handy,nuse,05 Dimdumb
Re-Forming Contour Stick,colorgram,03 Neutral
Loose Brightening Setting Powder,Laura Mercier,Tone-Up Rose
Blush Color Infusion,Laura Mercier,Chai
Butterfly Cloud Collar Embossed Highlight & Contour Palette,Flower Knows,02 Tawny Tea
Shade + Light Powder Contour Palette,KVD Beauty,Taupe
Swan Ballet Embossed Blush,Flower Knows,01 Niveous Swan
Laguna Bronzer,NARS,Laguna 02
Heart Cookie Blusher,Etude,Pink Salt
BFF Liquid Liner Felt-Tip Eyeliner Pen,ColourPop,Grande
So Fierce Vinyl Eyeliner,Revlon,Midnight Mystery
Point Made Waterproof Liquid Eyeliner,ONE/SIZE,Bodacious Black
Epic Ink Waterproof Liquid Eyeliner,NYX,Black
Quad Eyeshadow Palette,Kaleidos,Twilight Rush
Artist Color Pencil,MAKE UP FOR EVER,506 Endless Cacao
Double Eyelid Tape,Flortte,#S
Luodai Floral Eyebrow Define Pencil,Florasis,01 Grey
Shaper Pomade Eyebrow Fixer Brow Gel,Unleashia,
Kill Lash Superproof Mascara,CLIO,01 Long Curling
Volume Effet Faux Cils Mascara,YSL,1 High Density Black
LuxeFlutter Cluster False Eyelashes,YesStyle,06 Black
Addict Shine Lipstick,Dior,521 Diorelita
Ink Mood Glowy Tint,Peripera,33 Rosy Wish
Cushion Puff,Parnell,
Cat Paw Cushion Puff,CLIO,
Everyday Eye Essentials Brush Set,Real Techniques,
Eyelash Curler,Rephr,20R
