video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
raEnFm0sdnc,got2b Ultra Glued Styling Gel for Edges,Schwarzkopf,,shown,11.2,,0.95
raEnFm0sdnc,Spoolie/Eyebrow Brush,,,shown,12.6,,0.75
raEnFm0sdnc,Brow Palette,,,shown,14.4,,0.6
raEnFm0sdnc,Flat Eyebrow/Detail Brush,,,shown,16.4,,0.7
raEnFm0sdnc,Wood Lipliner Pencil,,,shown,17.7,,0.7
raEnFm0sdnc,Power Grip Primer,e.l.f.,,both,21.4,"Next, the primer, foundation, concealer.",0.95
raEnFm0sdnc,Foundation,NARS,,both,21.4,"Next, the primer, foundation, concealer.",0.9
raEnFm0sdnc,Concealer,,,both,21.4,"Next, the primer, foundation, concealer.",0.7
raEnFm0sdnc,Foundation Brush (flat kabuki/buffing brush),,,shown,28.5,,0.7
raEnFm0sdnc,Concealer Brush (flat detail brush),,,shown,30.3,,0.7
raEnFm0sdnc,Beauty Sponge (red),,,shown,36.9,,0.85
raEnFm0sdnc,Easy Bake Loose Baking & Setting Powder,Huda Beauty,Blondie,both,43.1,"I'm going to go ahead and set setting powder, press powder to set the rest of my face.",0.97
raEnFm0sdnc,PRO.face HD High-Definition Matte Pressed Powder,L.A. Girl,,both,43.1,"I'm going to go ahead and set setting powder, press powder to set the rest of my face.",0.97
raEnFm0sdnc,Bronzer,,,spoken,53.4,"Bronzer to softly sculpt the face, blush.",0.7
raEnFm0sdnc,Blush,,,spoken,53.4,"Bronzer to softly sculpt the face, blush.",0.7
