video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
FaL8JhFuBBo,Purple Bandage Sunscreen Primer,Judydoll,,on-screen-text,30.0,,0.85
FaL8JhFuBBo,Pro Concealer Palette,,#01,on-screen-text,60.0,,0.65
FaL8JhFuBBo,Staking Blur Cheek,WAKEMAKE,#03 Squeeze,on-screen-text,120.0,,0.85
FaL8JhFuBBo,Contour & Highlight Duo Pencil,out-of-office,#01,on-screen-text,158.9,,0.85
FaL8JhFuBBo,Waterproof Soft Focus Pressed Powder,KATO-KATO,#1 Clear,on-screen-text,191.1,And now I'm going to set my face.,0.85
FaL8JhFuBBo,lip product,Heart Percent,Strawberry Milk,spoken,191.3,I'm going to use the strawberry milk color from Heart Percent,0.9
FaL8JhFuBBo,lip color,,Bunny Tongue,spoken,200.2,for the color today I'm going to try this bunny tongue shade,0.75
FaL8JhFuBBo,Shadow Palette,dasique,#16 Violet Knit,on-screen-text,211.8,,0.85
FaL8JhFuBBo,My Face Piece Shadow,Holika Holika,#37 Dark Espresso,both,238.3,I'm going to stamp along my lash line with my favorite eyeshadow powder from Holoka Holoka.,0.9
FaL8JhFuBBo,Dr. Mascara Fixer For Perfect Lash,ETUDE,,both,253.9,"I'm going to try this eyelash fixer. I've actually not used this yet, but it's like a clear gel that is supposed to hold your lashes and their curl in place without any sort of color so that you don't get denseness if you don't want it.",0.9
FaL8JhFuBBo,cluster false lashes,99 Dreams,,both,265.5,Today I'm going to be using these lashes from 99 Dreams.,0.8
FaL8JhFuBBo,Rotation Coloring Eyebrow,Kiss Me Romy,#15 Dusty Ray,on-screen-text,330.0,,0.85
FaL8JhFuBBo,Multi Eye Color Palette,3CE,#Dry Bouquet,both,363.8,I'm going to use the red tone from this eyeshadow palette to line my bottom lash line.,0.9
FaL8JhFuBBo,2 In 1 Highlighter Contour Palette,Judydoll,#02,both,409.3,I'm starting with this sort of medium dark shade and just going over the areas that we had put crayon contour on earlier,0.92
FaL8JhFuBBo,Slim Liquid Eyeliner,Judydoll,#02 Deep Brown,both,437.9,I'm going to draw on some more eyelashes with this Judy Doll Slim Liquid Eyeliner,0.9
FaL8JhFuBBo,3D Curling Eyelash Iron Mascara,Judydoll,#02 Brown,both,455.9,I'm going to add a little bit of brown mascara to the outer edges of my lashes,0.85
FaL8JhFuBBo,Dual Cheek,2AM,"#02 Love, Rosy",both,458.9,This blush set is from 2AM. I'm going to start with this lighter shade and just place it on the inner part of my face,0.9
FaL8JhFuBBo,highlighter palette,Judydoll,,spoken,646.5,I'm going to take the highlighter from this Judy doll palette and place it only on the highest points of my face,0.9
