video_id,product_name,brand,variant_or_shade,evidence_type,source,timestamp_s,transcript_quote,confidence
9EgrHHzbYnE,eye patches,,,both,video,1.7,5-2-D eye patches.,0.5
9EgrHHzbYnE,toner,Miro,,both,video,15.4,Miro toner.,0.7
9EgrHHzbYnE,firming serum,Miro,,both,video,20.2,Miro firming serum?,0.7
9EgrHHzbYnE,moisturizer,Tatcha,,both,video,26.2,I do not care how to do a moisturizer.,0.8
9EgrHHzbYnE,sunscreen,Glow Recipe,,both,video,32.5,Glow recipe sunscreen?,0.85
9EgrHHzbYnE,Skin Glow SPF 30 Primer,YSE,SPF 30,both,video,47.1,Why is beauty primer?,0.82
9EgrHHzbYnE,Ta foundation,Patrick Ta,,both,video,64.3,Patrick Tap foundation?,0.82
9EgrHHzbYnE,beauty sponge,,,shown,video,65.7,,0.7
9EgrHHzbYnE,Ta contour,Patrick Ta,,both,video,74.4,Patrick Tap contour?,0.82
9EgrHHzbYnE,Ta blush,Patrick Ta,,both,video,82.8,Patrick Tap love!,0.78
9EgrHHzbYnE,Radiant Creamy Concealer,NARS,,both,video,91.6,"You know, our screaming concealer?",0.75
9EgrHHzbYnE,powder,Charlotte Tilbury,,both,video,103.3,We make up our own Charlotte Tilbury powder.,0.85
9EgrHHzbYnE,mascara,Benefit,,both,video,109.4,Benefit Van Gogh being mascara is $29.,0.72
9EgrHHzbYnE,Brow pencil,Benefit,,spoken,video,113.6,And their brow pencil is $26.,0.75
9EgrHHzbYnE,Forever lip liner,,Anywhere Coffee,spoken,video,120.8,They're forever lip liner in shade Anywhere Coffee.,0.7
9EgrHHzbYnE,Addict Lip Maximizer,Dior,,both,video,125.8,The word lip maximizer?,0.88
9EgrHHzbYnE,yummy setting spray,,,both,video,129.5,setting my face with a Devesa Mirox yummy setting spray.,0.5
9EgrHHzbYnE,Brow gel,Rare Beauty,,spoken,video,144.6,the rare beauty brow gel that I was using is $21.,0.88
