product_name,brand,variant_or_shade
Purple Bandage Sunscreen Primer,Judydoll,
Cushion Egg-Fit Cover,fwee,#02 Nude
Pro Concealer Palette,dasique,#01
Pro Eye Palette Air,CLIO,#11 Shopping Cheese & #03 Mute Library
3D Curling Eyelash Iron Mascara,Judydoll,#01 Black
Super Proof Brush Liner Kill Ash,CLIO,#02 Ash Brown
Artclass Smudging Under Liner,too cool for school,#06 Dusk
Artclass Frottage Pencil,too cool for school,#11 Dew Beige
Kiss Me Heavy Rotation Eyebrow Pencil,ISEHAN,#12 Gray Beige
Kiss Me Heavy Rotation Coloring Eyebrow,ISEHAN,#15 Dusky Rose
Backstage Rosy Glow,Dior,#001 Pink
Blending Mood Cheek Knit Edition,dasique,#05 Violet Knit
Cheek Pop Powder Blush,Clinique,Black Honey Pop
Contour & Highlight Duo Pencil,OUT-OF-OFFICE,#01
Artclass By Rodin Shading,too cool for school,#1
2 IN 1 Highlighter Contour Palette,Judydoll,#02
Lip Mate Pencil,rom&nd,#03 Kaya Beige
Blur Water Tint,3CE,#Dear March
Juicy Lasting Tint,rom&nd,#32 Tanny Guava
Dolly Kristin,Hapa Kristin,Gray
Foundation Brush & Aqua Puff,THE TOOL LAB,
Immediate Moisture Facial Hydrosol,Aesop,
Easy Bake Powder,Huda Beauty,Ube Birthday Cake
