product_name,brand,variant_or_shade
Beauty Elixir Face Mist,Caudalie,
Cushion Egg-Fit Cover,fwee,#02 Nude
Illuminating Banana Powder,Dermablend,
Match Stix Contour Skinstick,Fenty Beauty,Amber
Artclass By Rodin Shading,too cool for school,#02 Modern
Contour & Highlight Duo Pencil,OUT-OF-OFFICE,#01
Dote on Mood Lip Pencil,Heart Percent,#10 Clean Beige
Color Lip Matte,rom&nd,#07 Teddy Beige
Juicy Lasting Tint,rom&nd,#27 Honey Dew Melon
Glasting Color Gloss,rom&nd,#12 Cream Shell
Blending Mood Cheek Knit Edition,dasique,#04 Beige Knit
Shadow Palette,dasique,#15 Beige Knit
Waterproof Liquid Eyeliner,Sephora,Brown
My Fave Piece Shadow,HOLIKA HOLIKA,#20 Two Shot Americano
3D Curling Eyelash Iron Mascara,Judydoll,#02 Brown
Kill Brow Dual Tattoo Pen,CLIO,#02 Light Brown
Kiss Me Heavy Rotation Coloring Eyebrow,ISEHAN,#15 Dusky Rose
Artclass Frottage Pencil,too cool for school,#01 Shining Linen
