video_id,product_name,brand,variant_or_shade,evidence_type,timestamp_s,transcript_quote,confidence
jrfYKdSFso0,Fairy Charm contact lenses,OLENS,olive,both,2.4,,0.95
jrfYKdSFso0,Relief Sun Cream,Beauty of Joseon,,on-screen-text,5.3,,0.95
jrfYKdSFso0,Luminous Silk Concealer,Armani Beauty,4,on-screen-text,8.4,,0.95
jrfYKdSFso0,Luminous Cheek Tint,Armani Beauty,53 bold pink,on-screen-text,11.0,,0.95
jrfYKdSFso0,Ultra-Blur Translucent Loose Setting Powder,Laura Mercier,rose,on-screen-text,12.1,,0.95
jrfYKdSFso0,Shade + Light Contour,KVD Beauty,taupe,on-screen-text,13.4,,0.9
jrfYKdSFso0,Mono Blush,Kaleidos,pale rose,on-screen-text,15.7,,0.9
jrfYKdSFso0,Luodai Eyebrow Define Pencil,Florasis,chisel tip 01 gray,on-screen-text,17.1,,0.95
jrfYKdSFso0,Quad Palette,Kaleidos,twilight rush,on-screen-text,19.2,,0.9
jrfYKdSFso0,Long-Wear Gel Eyeliner,Bobbi Brown,night grey,on-screen-text,20.4,,0.85
jrfYKdSFso0,The Gel Eyeliner,Addiction Tokyo,bloody berry,on-screen-text,21.9,,0.95
jrfYKdSFso0,Eyelash Curler,REPHR,,on-screen-text,28.2,,0.9
jrfYKdSFso0,Kill Lash Superproof Mascara,Clio,long curling,on-screen-text,29.6,,0.95
jrfYKdSFso0,False Eyelash,Flortte,,on-screen-text,30.7,,0.9
jrfYKdSFso0,Artclass Frottage Pencil,Too Cool for School,,on-screen-text,31.8,,0.92
jrfYKdSFso0,Smiley Lip Blending Stick,LILYBYRED,01 grin with me,on-screen-text,35.3,,0.95
jrfYKdSFso0,Slim Liquid Eyeliner,JUDYDOLL,02 deep brown,on-screen-text,37.3,,0.95
